iter	Passed	Remaining
678	4358	8480
679	4365	8473
680	4371	8467
681	4377	8460
682	4383	8453
683	4390	8446
684	4396	8440
685	4403	8433
686	4409	8427
687	4415	8421
688	4422	8414
689	4428	8408
690	4434	8400
691	4441	8394
692	4447	8387
693	4453	8381
694	4460	8375
695	4469	8373
696	4476	8368
697	4483	8363
698	4490	8358
699	4497	8353
700	4505	8348
701	4512	8343
702	4519	8338
703	4526	8333
704	4533	8328
705	4540	8322
706	4547	8317
707	4555	8312
708	4561	8306
709	4568	8301
710	4575	8295
711	4582	8290
712	4589	8284
713	4596	8279
714	4603	8273
715	4610	8268
716	4617	8261
717	4623	8254
718	4629	8247
719	4635	8240
720	4641	8232
721	4646	8225
722	4652	8218
723	4659	8211
724	4665	8204
725	4671	8197
726	4677	8190
727	4683	8183
728	4689	8176
729	4695	8169
730	4701	8162
731	4707	8155
732	4714	8148
733	4720	8141
734	4726	8134
735	4732	8127
736	4738	8120
737	4744	8113
738	4751	8106
739	4757	8099
740	4763	8092
741	4769	8085
742	4775	8078
743	4781	8072
744	4787	8064
745	4793	8058
746	4800	8051
747	4806	8045
748	4813	8039
749	4819	8031
750	4825	8025
751	4831	8018
752	4837	8011
753	4844	8004
754	4850	7997
755	4856	7991
756	4862	7984
757	4868	7977
758	4875	7971
759	4881	7963
760	4887	7957
761	4893	7950
762	4899	7943
763	4905	7936
764	4912	7929
765	4918	7923
766	4924	7916
767	4930	7909
768	4936	7902
769	4942	7895
770	4949	7889
771	4955	7882
772	4961	7875
773	4968	7869
774	4974	7862
775	4980	7856
776	4986	7849
777	4993	7842
778	4999	7835
779	5005	7829
780	5011	7822
781	5018	7815
782	5025	7810
783	5031	7804
784	5039	7799
785	5046	7794
786	5053	7789
787	5060	7783
788	5067	7778
789	5075	7773
790	5082	7767
791	5089	7762
792	5096	7757
793	5103	7751
794	5110	7745
795	5117	7740
796	5124	7735
797	5131	7730
798	5139	7724
799	5146	7719
800	5153	7714
801	5161	7709
802	5167	7703
803	5176	7700
804	5183	7694
805	5189	7687
806	5195	7680
807	5201	7673
808	5207	7666
809	5213	7659
810	5219	7652
811	5225	7645
812	5231	7638
813	5237	7631
814	5243	7624
815	5249	7617
816	5256	7610
817	5261	7603
818	5268	7596
